x,y,z
-1.212,-0.346,0.2
-1.212,-0.141,0.4
-1.212,0.141,0.4
-1.212,0.346,0.2
-1.196,-0.163,0.4
-1.196,0.163,0.4
-1.176,-0.361,0.2
-1.176,0.361,0.2
-1.175,-0.187,0.4
-1.175,0.187,0.4
-1.149,-0.212,0.4
-1.149,0.212,0.4
-1.141,-0.373,0.2
-1.141,0.373,0.2
-1.124,-0.235,0.4
-1.124,0.235,0.4
-1.098,-0.255,0.4
-1.098,0.255,0.4
-1.084,0.0,0.6
-1.083,-0.014,0.6
-1.083,0.014,0.6
-1.081,-0.033,0.6
-1.081,0.033,0.6
-1.079,-0.392,0.2
-1.079,0.392,0.2
-1.076,-0.052,0.6
-1.076,0.052,0.6
-1.064,-0.092,0.6
-1.064,0.092,0.6
-1.061,-0.28,0.4
-1.061,0.28,0.4
-1.055,-0.11,0.6
-1.055,0.11,0.6
-1.038,-0.404,0.2
-1.038,-0.139,0.6
-1.038,0.139,0.6
-1.038,0.404,0.2
-1.032,-0.297,0.4
-1.032,0.297,0.4
-1.009,-0.411,0.2
-1.009,-0.178,0.6
-1.009,0.178,0.6
-1.009,0.411,0.2
-1.007,-0.31,0.4
-1.007,0.31,0.4
-0.987,-0.201,0.6
-0.987,0.201,0.6
-0.983,-0.323,0.4
-0.983,0.323,0.4
-0.967,-0.42,0.2
-0.967,0.0,0.8
-0.967,0.42,0.2
-0.965,-0.022,0.8
-0.965,0.022,0.8
-0.963,-0.038,0.8
-0.963,0.038,0.8
-0.961,-0.224,0.6
-0.961,0.224,0.6
-0.959,-0.058,0.8
-0.959,0.058,0.8
-0.954,-0.077,0.8
-0.954,0.077,0.8
-0.948,-0.094,0.8
-0.948,0.094,0.8
-0.947,-0.339,0.4
-0.947,0.339,0.4
-0.938,-0.243,0.6
-0.938,0.243,0.6
-0.932,-0.127,0.8
-0.932,0.127,0.8
-0.926,-0.428,0.2
-0.926,0.428,0.2
-0.924,-0.349,0.4
-0.924,0.349,0.4
-0.916,-0.152,0.8
-0.916,0.152,0.8
-0.912,-0.26,0.6
-0.912,0.26,0.6
-0.907,-0.166,0.8
-0.907,0.166,0.8
-0.895,-0.433,0.2
-0.895,0.433,0.2
-0.894,-0.18,0.8
-0.894,0.18,0.8
-0.885,-0.362,0.4
-0.885,0.362,0.4
-0.881,-0.279,0.6
-0.881,0.279,0.6
-0.878,-0.198,0.8
-0.878,0.198,0.8
-0.868,0.0,1.0
-0.867,-0.009,1.0
-0.867,0.009,1.0
-0.866,-0.023,1.0
-0.866,0.023,1.0
-0.864,-0.037,1.0
